token,value_de,value_en,type,rdc,expl_de,expl_en
cost.information.availability.book,Informationsversorgungskosten Bücher,TODO ERMS-6310,de.laser.RefdataValue,cost.information.availability.book,,
cost.information.availability.database,Informationsversorgungskosten Datenbanken,TODO ERMS-6310,de.laser.RefdataValue,cost.information.availability.database,,
cost.information.availability.ill,Informationsversorgungskosten für Fernleihe oder Dokumentlieferung,TODO ERMS-6310,de.laser.RefdataValue,cost.information.availability.ill,,
cost.information.availability.journal,Informationsversorgungskosten Zeitschriften (nur lesen),TODO ERMS-6310,de.laser.RefdataValue,cost.information.availability.journal,,
cost.information.availability.other,Informationsversorgungskosten sonstige Medien oder Dienste,TODO ERMS-6310,de.laser.RefdataValue,cost.information.availability.other,,
cost.information.contracts.contractual,Rahmenvertrag technisch-inhaltlich,TODO ERMS-6310,de.laser.RefdataValue,cost.information.contracts.contractual,,
cost.information.contracts.library,Überregionale bibliothekarische Dienste,TODO ERMS-6310,de.laser.RefdataValue,cost.information.contracts.library,,
cost.information.contracts.membership,Institutionelle Mitgliedschaften in Verbünden oder erstattungsfähige persönliche Mitgliedschaften in Berufsverbänden o. ä.,TODO ERMS-6310,de.laser.RefdataValue,cost.information.contracts.membership,,
cost.information.personnel.infrastructure,Personal Betrieb Infrastrukturen,TODO ERMS-6310,de.laser.RefdataValue,cost.information.personnel.infrastructure,,
cost.information.personnel.service,Serviceangebote und Workflows,TODO ERMS-6310,de.laser.RefdataValue,cost.information.personnel.service,,
cost.information.publication.book,Publikationskosten Bücher,TODO ERMS-6310,de.laser.RefdataValue,cost.information.publication.book,,
cost.information.publication.journal,Publikationskosten Zeitschriftenartikel,TODO ERMS-6310,de.laser.RefdataValue,cost.information.publication.journal,,
cost.information.publication.other,Publikationskosten Sonstiges,TODO ERMS-6310,de.laser.RefdataValue,cost.information.publication.other,,
cost.information.service.editor,"Universitätsverlag (Betrieb und Wartung technisch, ggf. Anschaffung)",TODO ERMS-6310,de.laser.RefdataValue,cost.information.service.editor,,
cost.information.service.hardware,"Bibliotheksausstattung und -hardware (Anschaffung, Betrieb, Wartung technisch)",TODO ERMS-6310,de.laser.RefdataValue,cost.information.service.hardware,,
cost.information.service.infrastructure,"Infrastrukturen (Betrieb und Wartung technisch, ggf. Anschaffung)",TODO ERMS-6310,de.laser.RefdataValue,cost.information.service.infrastructure,,
cost.information.service.software,Software,TODO ERMS-6310,de.laser.RefdataValue,cost.information.service.software,,
cost.information.source.own,Eigenmittel der Einrichtung,TODO ERMS-6310,de.laser.RefdataValue,cost.information.source.own,,
cost.information.source.central,Zentrale Drittmittel (DM),TODO ERMS-6310,de.laser.RefdataValue,cost.information.source.central,,
cost.information.source.decentral,Dezentrale Drittmittel,TODO ERMS-6310,de.laser.RefdataValue,cost.information.source.decentral,,